order_number,product_id,customer_id,order_date,quantity,price,shipping_date,due_date,sales_amount,store_id
SO57239,2150,19154,10/2/2023,4,20,10/4/2023,10/16/2023,80,88
SO57240,3104,17392,7/18/2023,5,669,7/20/2023,8/1/2023,3345,7
SO57241,3589,18228,5/29/2023,1,152,5/31/2023,6/12/2023,152,20
SO57242,2325,29565,10/7/2023,5,562,10/9/2023,10/21/2023,2810,73
SO57243,5157,20313,7/21/2023,2,475,7/23/2023,8/4/2023,950,95
SO57244,3037,32510,2/25/2023,2,934,2/27/2023,3/11/2023,1868,87
SO57245,4350,15718,6/29/2023,5,932,7/1/2023,7/13/2023,4660,99
SO57246,2915,12376,12/28/2023,3,346,12/30/2023,1/11/2024,1038,1
SO57247,932,11852,2/18/2023,2,461,2/20/2023,3/4/2023,922,28
SO57248,609,32880,4/20/2023,3,730,4/22/2023,5/4/2023,2190,94
SO57249,3556,18608,3/3/2023,4,128,3/5/2023,3/17/2023,512,4
SO57250,812,22098,5/9/2023,3,225,5/11/2023,5/23/2023,675,77
SO57251,1260,28665,2/6/2023,2,206,2/8/2023,2/20/2023,412,9
SO57252,3826,22876,1/31/2023,2,638,2/2/2023,2/14/2023,1276,92
SO57253,1018,25687,10/28/2023,2,36,10/30/2023,11/11/2023,72,95
SO57254,4991,20774,12/19/2023,3,611,12/21/2023,1/2/2024,1833,7
SO57255,4685,30596,11/17/2023,3,182,11/19/2023,12/1/2023,546,75
SO57256,4156,12649,10/13/2023,4,425,10/15/2023,10/27/2023,1700,22
SO57257,664,32652,12/16/2023,5,152,12/18/2023,12/30/2023,760,20
SO57258,5010,22930,1/6/2023,1,592,1/8/2023,1/20/2023,592,4
SO57259,784,11050,5/25/2023,2,979,5/27/2023,6/8/2023,1958,76
SO57260,1585,24525,11/7/2023,3,297,11/9/2023,11/21/2023,891,64
SO57261,1123,26434,3/25/2023,1,912,3/27/2023,4/8/2023,912,26
SO57262,2240,30133,5/13/2023,1,690,5/15/2023,5/27/2023,690,78
SO57263,3434,34673,7/2/2023,1,651,7/4/2023,7/16/2023,651,79
SO57264,867,17500,3/21/2023,5,83,3/23/2023,4/4/2023,415,35
SO57265,850,10171,1/15/2023,1,125,1/17/2023,1/29/2023,125,72
SO57266,3578,13642,6/20/2023,2,745,6/22/2023,7/4/2023,1490,17
SO57267,1528,19625,7/17/2023,5,428,7/19/2023,7/31/2023,2140,67
SO57268,4004,15076,3/31/2023,4,373,4/2/2023,4/14/2023,1492,73
SO57269,2201,15154,3/15/2023,2,480,3/17/2023,3/29/2023,960,13
SO57270,2458,15477,4/23/2023,4,907,4/25/2023,5/7/2023,3628,55
SO57271,1435,20440,6/13/2023,3,397,6/15/2023,6/27/2023,1191,19
SO57272,4130,19032,10/1/2023,3,844,10/3/2023,10/15/2023,2532,37
SO57273,3205,24984,1/9/2023,3,502,1/11/2023,1/23/2023,1506,47
SO57274,3396,34698,4/14/2023,1,153,4/16/2023,4/28/2023,153,52
SO57275,2964,13544,7/18/2023,4,323,7/20/2023,8/1/2023,1292,65
SO57276,5250,23376,6/20/2023,2,27,6/22/2023,7/4/2023,54,27
SO57277,1509,23971,10/5/2023,3,323,10/7/2023,10/19/2023,969,1
SO57278,3302,29370,8/28/2023,3,599,8/30/2023,9/11/2023,1797,36
SO57279,4296,25222,12/31/2023,2,148,1/2/2024,1/14/2024,296,82
SO57280,1182,13271,1/31/2023,5,430,2/2/2023,2/14/2023,2150,100
SO57281,3657,34077,12/10/2023,5,430,12/12/2023,12/24/2023,2150,49
SO57282,2905,10765,11/5/2023,5,432,11/7/2023,11/19/2023,2160,50
SO57283,2371,22280,10/24/2023,4,435,10/26/2023,11/7/2023,1740,54
SO57284,3913,15930,2/23/2023,2,675,2/25/2023,3/9/2023,1350,41
SO57285,3972,16923,5/12/2023,5,560,5/14/2023,5/26/2023,2800,40
SO57286,5129,13703,3/11/2023,4,335,3/13/2023,3/25/2023,1340,85
SO57287,4112,32817,8/2/2023,5,529,8/4/2023,8/16/2023,2645,29
SO57288,4467,11035,12/10/2023,5,912,12/12/2023,12/24/2023,4560,81
SO57289,3398,19167,5/14/2023,2,464,5/16/2023,5/28/2023,928,39
SO57290,4119,30920,12/14/2023,1,335,12/16/2023,12/28/2023,335,51
SO57291,1511,30135,3/11/2023,1,337,3/13/2023,3/25/2023,337,62
SO57292,985,27852,4/21/2023,1,504,4/23/2023,5/5/2023,504,22
SO57293,5346,33583,8/9/2023,3,338,8/11/2023,8/23/2023,1014,32
SO57294,2075,29830,11/21/2023,1,541,11/23/2023,12/5/2023,541,68
SO57295,1329,24872,7/1/2023,5,113,7/3/2023,7/15/2023,565,45
SO57296,3482,10999,4/9/2023,3,77,4/11/2023,4/23/2023,231,49
SO57297,5470,10162,4/28/2023,3,312,4/30/2023,5/12/2023,936,47
SO57298,2491,12089,6/3/2023,2,301,6/5/2023,6/17/2023,602,95
SO57299,4594,33428,2/5/2023,2,404,2/7/2023,2/19/2023,808,42
SO57300,853,21233,4/21/2023,4,468,4/23/2023,5/5/2023,1872,81
SO57301,3889,16233,3/21/2023,2,423,3/23/2023,4/4/2023,846,58
SO57302,557,32276,7/12/2023,1,178,7/14/2023,7/26/2023,178,20
SO57303,1587,29606,4/9/2023,1,551,4/11/2023,4/23/2023,551,45
SO57304,4229,30716,2/13/2023,1,885,2/15/2023,2/27/2023,885,37
SO57305,588,30484,11/15/2023,3,791,11/17/2023,11/29/2023,2373,2
SO57306,1604,14852,1/30/2023,2,969,2/1/2023,2/13/2023,1938,14
SO57307,533,23839,2/25/2023,5,136,2/27/2023,3/11/2023,680,36
SO57308,1444,27841,3/16/2023,1,144,3/18/2023,3/30/2023,144,90
SO57309,4972,23692,1/23/2023,3,597,1/25/2023,2/6/2023,1791,69
SO57310,3531,13479,2/19/2023,3,371,2/21/2023,3/5/2023,1113,66
SO57311,2551,24612,5/5/2023,1,717,5/7/2023,5/19/2023,717,87
SO57312,3719,23521,10/28/2023,2,52,10/30/2023,11/11/2023,104,86
SO57313,1262,19610,10/30/2023,2,243,11/1/2023,11/13/2023,486,21
SO57314,4818,26248,11/4/2023,4,841,11/6/2023,11/18/2023,3364,31
SO57315,1057,21272,4/11/2023,2,237,4/13/2023,4/25/2023,474,1
SO57316,3574,32696,6/4/2023,1,781,6/6/2023,6/18/2023,781,1
SO57317,2691,26869,8/4/2023,5,875,8/6/2023,8/18/2023,4375,71
SO57318,3986,15848,7/13/2023,1,882,7/15/2023,7/27/2023,882,97
SO57319,2825,12700,2/22/2023,5,589,2/24/2023,3/8/2023,2945,12
SO57320,4493,25994,1/29/2023,5,552,1/31/2023,2/12/2023,2760,55
SO57321,1099,24810,9/18/2023,1,582,9/20/2023,10/2/2023,582,26
SO57322,4995,32240,12/2/2023,2,633,12/4/2023,12/16/2023,1266,34
SO57323,2881,19961,4/22/2023,4,650,4/24/2023,5/6/2023,2600,56
SO57324,750,32631,9/14/2023,5,381,9/16/2023,9/28/2023,1905,75
SO57325,989,21974,2/10/2023,3,79,2/12/2023,2/24/2023,237,38
SO57326,4652,18906,9/2/2023,3,136,9/4/2023,9/16/2023,408,22
SO57327,3677,17737,2/28/2023,1,519,3/2/2023,3/14/2023,519,25
SO57328,4924,33403,10/17/2023,4,954,10/19/2023,10/31/2023,3816,13
SO57329,2833,33029,7/4/2023,4,787,7/6/2023,7/18/2023,3148,74
SO57330,1019,29065,7/29/2023,5,707,7/31/2023,8/12/2023,3535,54
SO57331,2808,16671,7/24/2023,4,285,7/26/2023,8/7/2023,1140,82
SO57332,4401,17340,10/18/2023,2,864,10/20/2023,11/1/2023,1728,3
SO57333,2400,23475,9/25/2023,1,868,9/27/2023,10/9/2023,868,4
SO57334,3906,11740,11/26/2023,4,490,11/28/2023,12/10/2023,1960,10
SO57335,4168,18283,1/14/2023,5,38,1/16/2023,1/28/2023,190,18
SO57336,1579,11234,2/4/2023,2,967,2/6/2023,2/18/2023,1934,71
SO57337,1270,33853,4/6/2023,5,839,4/8/2023,4/20/2023,4195,16
SO57338,4347,12584,5/15/2023,1,739,5/17/2023,5/29/2023,739,61
SO57339,685,28481,2/2/2023,5,675,2/4/2023,2/16/2023,3375,52
SO57340,3904,18598,2/11/2023,2,223,2/13/2023,2/25/2023,446,5
SO57341,713,19508,11/5/2023,1,869,11/7/2023,11/19/2023,869,19
SO57342,3568,17729,5/4/2023,5,706,5/6/2023,5/18/2023,3530,31
SO57343,4606,14265,4/6/2023,2,680,4/8/2023,4/20/2023,1360,23
SO57344,5090,33838,5/9/2023,4,721,5/11/2023,5/23/2023,2884,32
SO57345,1079,14534,9/19/2023,3,272,9/21/2023,10/3/2023,816,100
SO57346,2394,25528,2/4/2023,3,321,2/6/2023,2/18/2023,963,31
SO57347,4385,27455,9/18/2023,1,148,9/20/2023,10/2/2023,148,71
SO57348,3541,20517,6/17/2023,4,180,6/19/2023,7/1/2023,720,10
SO57349,1835,23616,4/23/2023,5,435,4/25/2023,5/7/2023,2175,76
SO57350,1659,14103,5/27/2023,3,65,5/29/2023,6/10/2023,195,36
SO57351,1036,10364,6/1/2023,1,439,6/3/2023,6/15/2023,439,32
SO57352,2424,15669,8/28/2023,1,637,8/30/2023,9/11/2023,637,41
SO57353,970,22443,7/8/2023,2,994,7/10/2023,7/22/2023,1988,18
SO57354,985,20836,3/18/2023,3,937,3/20/2023,4/1/2023,2811,58
SO57355,4741,14795,6/7/2023,2,597,6/9/2023,6/21/2023,1194,22
SO57356,1637,15215,2/15/2023,5,464,2/17/2023,3/1/2023,2320,65
SO57357,5085,33104,10/1/2023,3,507,10/3/2023,10/15/2023,1521,44
SO57358,3289,24814,1/23/2023,3,198,1/25/2023,2/6/2023,594,89
SO57359,2097,19342,8/4/2023,5,976,8/6/2023,8/18/2023,4880,47
SO57360,3844,27108,5/11/2023,5,125,5/13/2023,5/25/2023,625,49
SO57361,2396,23385,1/3/2023,1,669,1/5/2023,1/17/2023,669,62
SO57362,1618,23008,7/14/2023,4,70,7/16/2023,7/28/2023,280,99
SO57363,3267,18492,9/21/2023,3,251,9/23/2023,10/5/2023,753,96
SO57364,3252,25272,11/25/2023,5,991,11/27/2023,12/9/2023,4955,28
SO57365,5440,32564,1/25/2023,4,519,1/27/2023,2/8/2023,2076,50
SO57366,1124,23703,4/1/2023,4,251,4/3/2023,4/15/2023,1004,10
SO57367,4066,31460,6/10/2023,2,677,6/12/2023,6/24/2023,1354,62
SO57368,2162,28578,9/13/2023,1,77,9/15/2023,9/27/2023,77,94
SO57369,2707,20957,6/17/2023,1,905,6/19/2023,7/1/2023,905,73
SO57370,681,32838,11/21/2023,5,457,11/23/2023,12/5/2023,2285,81
SO57371,5143,22929,12/3/2023,2,933,12/5/2023,12/17/2023,1866,88
SO57372,1971,29006,10/29/2023,2,182,10/31/2023,11/12/2023,364,32
SO57373,2286,34705,1/18/2023,5,900,1/20/2023,2/1/2023,4500,12
SO57374,3322,32012,1/27/2023,3,324,1/29/2023,2/10/2023,972,75
SO57375,2298,33263,5/18/2023,5,379,5/20/2023,6/1/2023,1895,63
SO57376,2063,26452,9/22/2023,5,152,9/24/2023,10/6/2023,760,69
SO57377,647,33674,1/29/2023,2,101,1/31/2023,2/12/2023,202,20
SO57378,2173,23449,8/21/2023,2,438,8/23/2023,9/4/2023,876,49
SO57379,1933,23294,9/29/2023,4,622,10/1/2023,10/13/2023,2488,80
SO57380,644,10399,10/17/2023,1,628,10/19/2023,10/31/2023,628,61
SO57381,5325,31532,2/13/2023,1,653,2/15/2023,2/27/2023,653,40
SO57382,5061,30443,3/20/2023,4,64,3/22/2023,4/3/2023,256,86
SO57383,1703,25624,11/4/2023,3,233,11/6/2023,11/18/2023,699,68
SO57384,2129,22888,7/9/2023,5,696,7/11/2023,7/23/2023,3480,53
SO57385,536,33363,10/9/2023,2,596,10/11/2023,10/23/2023,1192,34
SO57386,3445,23341,10/9/2023,1,599,10/11/2023,10/23/2023,599,74
SO57387,2568,22004,7/28/2023,2,77,7/30/2023,8/11/2023,154,59
SO57388,1750,31405,1/15/2023,4,697,1/17/2023,1/29/2023,2788,9
SO57389,2523,31134,3/17/2023,2,596,3/19/2023,3/31/2023,1192,59
SO57390,3732,20789,5/29/2023,4,92,5/31/2023,6/12/2023,368,96
SO57391,2542,28005,10/14/2023,4,617,10/16/2023,10/28/2023,2468,6
SO57392,3594,16007,9/13/2023,2,987,9/15/2023,9/27/2023,1974,82
SO57393,1144,24832,6/18/2023,4,248,6/20/2023,7/2/2023,992,46
SO57394,3769,26295,12/29/2023,3,52,12/31/2023,1/12/2024,156,98
SO57395,3056,24207,2/26/2023,2,990,2/28/2023,3/12/2023,1980,96
SO57396,3578,31600,9/28/2023,5,876,9/30/2023,10/12/2023,4380,89
SO57397,4611,30783,5/18/2023,5,235,5/20/2023,6/1/2023,1175,40
SO57398,1619,20652,10/24/2023,3,51,10/26/2023,11/7/2023,153,42
SO57399,4457,19801,8/26/2023,2,193,8/28/2023,9/9/2023,386,64
SO57400,4253,30634,5/7/2023,5,231,5/9/2023,5/21/2023,1155,80
SO57401,1283,17743,5/11/2023,4,425,5/13/2023,5/25/2023,1700,52
SO57402,3470,18801,7/23/2023,5,412,7/25/2023,8/6/2023,2060,97
SO57403,1629,13215,6/5/2023,1,428,6/7/2023,6/19/2023,428,82
SO57404,3748,17561,4/12/2023,5,888,4/14/2023,4/26/2023,4440,88
SO57405,1781,18759,8/2/2023,5,227,8/4/2023,8/16/2023,1135,80
SO57406,4076,10392,10/6/2023,4,883,10/8/2023,10/20/2023,3532,73
SO57407,5259,19795,4/13/2023,2,390,4/15/2023,4/27/2023,780,49
SO57408,3447,29727,8/2/2023,1,397,8/4/2023,8/16/2023,397,31
SO57409,4390,21883,1/13/2023,1,839,1/15/2023,1/27/2023,839,62
SO57410,4982,10456,5/21/2023,4,646,5/23/2023,6/4/2023,2584,31
SO57411,707,10683,2/5/2023,5,34,2/7/2023,2/19/2023,170,61
SO57412,5056,27418,3/17/2023,1,236,3/19/2023,3/31/2023,236,63
SO57413,5160,24861,12/12/2023,3,58,12/14/2023,12/26/2023,174,30
SO57414,3932,31491,10/5/2023,2,859,10/7/2023,10/19/2023,1718,24
SO57415,1588,11918,3/31/2023,5,351,4/2/2023,4/14/2023,1755,43
SO57416,2017,30903,9/4/2023,3,95,9/6/2023,9/18/2023,285,57
SO57417,4898,24604,12/15/2023,5,648,12/17/2023,12/29/2023,3240,79
SO57418,2994,18226,1/2/2023,5,355,1/4/2023,1/16/2023,1775,84
SO57419,5369,22167,5/26/2023,5,680,5/28/2023,6/9/2023,3400,82
SO57420,4647,26371,2/23/2023,1,98,2/25/2023,3/9/2023,98,89
SO57421,2434,29803,4/28/2023,2,868,4/30/2023,5/12/2023,1736,10
SO57422,1032,23104,1/6/2023,4,451,1/8/2023,1/20/2023,1804,29
SO57423,1486,28716,9/25/2023,1,106,9/27/2023,10/9/2023,106,9
SO57424,5150,32810,6/12/2023,1,273,6/14/2023,6/26/2023,273,8
SO57425,5429,33742,1/15/2023,5,591,1/17/2023,1/29/2023,2955,75
SO57426,3832,11801,1/12/2023,1,990,1/14/2023,1/26/2023,990,43
SO57427,927,34119,12/5/2023,2,258,12/7/2023,12/19/2023,516,83
SO57428,3875,31393,5/2/2023,4,573,5/4/2023,5/16/2023,2292,70
SO57429,1346,33885,4/11/2023,3,77,4/13/2023,4/25/2023,231,89
SO57430,522,18750,12/4/2023,4,57,12/6/2023,12/18/2023,228,63
SO57431,4545,13806,10/3/2023,4,485,10/5/2023,10/17/2023,1940,18
SO57432,5340,23368,1/4/2023,1,826,1/6/2023,1/18/2023,826,88
SO57433,2880,34502,8/29/2023,4,837,8/31/2023,9/12/2023,3348,50
SO57434,5161,10312,12/30/2023,3,652,1/1/2024,1/13/2024,1956,8
SO57435,5312,11159,8/25/2023,4,84,8/27/2023,9/8/2023,336,80
SO57436,1329,16878,8/30/2023,1,176,9/1/2023,9/13/2023,176,58
SO57437,3876,34606,7/15/2023,1,405,7/17/2023,7/29/2023,405,70
SO57438,3937,11909,9/5/2023,4,235,9/7/2023,9/19/2023,940,69
SO57439,5465,16923,11/27/2023,3,522,11/29/2023,12/11/2023,1566,7
SO57440,5069,13205,8/17/2023,5,938,8/19/2023,8/31/2023,4690,50
SO57441,553,20273,6/21/2023,4,294,6/23/2023,7/5/2023,1176,13
SO57442,1418,10239,5/11/2023,1,595,5/13/2023,5/25/2023,595,28
SO57443,5127,16070,2/2/2023,5,417,2/4/2023,2/16/2023,2085,93
SO57444,4767,21441,4/13/2023,5,136,4/15/2023,4/27/2023,680,77
SO57445,1125,16440,10/17/2023,5,872,10/19/2023,10/31/2023,4360,91
SO57446,1921,30544,5/4/2023,4,823,5/6/2023,5/18/2023,3292,34
SO57447,2772,24310,12/30/2023,3,295,1/1/2024,1/13/2024,885,71
SO57448,2767,34613,9/21/2023,1,332,9/23/2023,10/5/2023,332,84
SO57449,1486,13395,2/13/2023,5,979,2/15/2023,2/27/2023,4895,17
SO57450,2693,31664,4/18/2023,2,676,4/20/2023,5/2/2023,1352,14
SO57451,5389,32484,12/7/2023,3,454,12/9/2023,12/21/2023,1362,85
SO57452,3983,20943,10/11/2023,3,119,10/13/2023,10/25/2023,357,95
SO57453,1728,23309,4/14/2023,1,646,4/16/2023,4/28/2023,646,83
SO57454,4747,30590,9/11/2023,4,520,9/13/2023,9/25/2023,2080,87
SO57455,2403,11234,7/16/2023,4,482,7/18/2023,7/30/2023,1928,97
SO57456,2078,13265,9/2/2023,2,444,9/4/2023,9/16/2023,888,37
SO57457,1880,22549,3/15/2023,2,665,3/17/2023,3/29/2023,1330,95
SO57458,1352,23052,8/15/2023,1,764,8/17/2023,8/29/2023,764,93
SO57459,2178,34986,12/26/2023,4,683,12/28/2023,1/9/2024,2732,5
SO57460,2685,27105,10/3/2023,1,616,10/5/2023,10/17/2023,616,48
SO57461,561,20144,11/29/2023,4,226,12/1/2023,12/13/2023,904,48
SO57462,1945,12172,1/14/2023,1,611,1/16/2023,1/28/2023,611,67
SO57463,4375,34733,7/6/2023,4,459,7/8/2023,7/20/2023,1836,45
SO57464,3625,16372,12/5/2023,3,619,12/7/2023,12/19/2023,1857,55
SO57465,814,31690,9/17/2023,2,985,9/19/2023,10/1/2023,1970,2
SO57466,2418,16659,7/24/2023,2,37,7/26/2023,8/7/2023,74,24
SO57467,4844,31968,9/21/2023,5,183,9/23/2023,10/5/2023,915,62
SO57468,2296,10113,7/21/2023,2,897,7/23/2023,8/4/2023,1794,58
SO57469,565,16823,5/14/2023,1,802,5/16/2023,5/28/2023,802,95
SO57470,3431,31937,8/24/2023,1,32,8/26/2023,9/7/2023,32,5
SO57471,2331,20660,4/11/2023,1,481,4/13/2023,4/25/2023,481,11
SO57472,3995,11369,5/20/2023,4,289,5/22/2023,6/3/2023,1156,87
SO57473,4839,25739,10/5/2023,1,416,10/7/2023,10/19/2023,416,87
SO57474,2425,12597,2/28/2023,3,668,3/2/2023,3/14/2023,2004,81
SO57475,2815,18299,9/13/2023,4,111,9/15/2023,9/27/2023,444,94
SO57476,1400,16256,9/5/2023,4,775,9/7/2023,9/19/2023,3100,70
SO57477,5329,14827,7/23/2023,1,517,7/25/2023,8/6/2023,517,34
SO57478,5494,27708,12/27/2023,4,334,12/29/2023,1/10/2024,1336,25
SO57479,4012,17258,7/2/2023,1,849,7/4/2023,7/16/2023,849,19
SO57480,3528,31891,4/6/2023,5,622,4/8/2023,4/20/2023,3110,45
SO57481,2501,31278,5/12/2023,3,900,5/14/2023,5/26/2023,2700,78
SO57482,3297,16334,7/24/2023,2,27,7/26/2023,8/7/2023,54,99
SO57483,5395,33379,12/29/2023,4,281,12/31/2023,1/12/2024,1124,61
SO57484,1542,24053,9/24/2023,4,975,9/26/2023,10/8/2023,3900,13
SO57485,3289,34252,1/31/2023,1,197,2/2/2023,2/14/2023,197,56
SO57486,906,18425,10/23/2023,1,607,10/25/2023,11/6/2023,607,13
SO57487,4245,14781,6/15/2023,5,309,6/17/2023,6/29/2023,1545,92
SO57488,533,27405,6/26/2023,1,615,6/28/2023,7/10/2023,615,45
SO57489,1879,26709,11/20/2023,4,756,11/22/2023,12/4/2023,3024,73
SO57490,731,34570,12/25/2023,4,282,12/27/2023,1/8/2024,1128,63
SO57491,2789,11737,1/7/2023,5,724,1/9/2023,1/21/2023,3620,4
SO57492,2659,23301,8/13/2023,4,750,8/15/2023,8/27/2023,3000,10
SO57493,3472,23261,7/6/2023,5,277,7/8/2023,7/20/2023,1385,3
SO57494,5300,27780,11/30/2023,4,27,12/2/2023,12/14/2023,108,95
SO57495,4378,28437,3/11/2023,5,471,3/13/2023,3/25/2023,2355,77
SO57496,2386,26497,7/14/2023,1,473,7/16/2023,7/28/2023,473,74
SO57497,2043,32187,6/23/2023,3,73,6/25/2023,7/7/2023,219,45
SO57498,2190,13335,4/14/2023,3,560,4/16/2023,4/28/2023,1680,67
SO57499,4527,24608,5/27/2023,4,699,5/29/2023,6/10/2023,2796,5
SO57500,5295,18512,10/27/2023,1,512,10/29/2023,11/10/2023,512,53
SO57501,3848,33331,6/6/2023,2,189,6/8/2023,6/20/2023,378,88
SO57502,3691,12600,5/31/2023,2,228,6/2/2023,6/14/2023,456,24
SO57503,3898,10631,5/27/2023,4,934,5/29/2023,6/10/2023,3736,2
SO57504,3401,10900,5/6/2023,4,338,5/8/2023,5/20/2023,1352,74
SO57505,1104,32879,11/26/2023,2,496,11/28/2023,12/10/2023,992,96
SO57506,863,33120,9/5/2023,4,372,9/7/2023,9/19/2023,1488,69
SO57507,1236,10168,8/31/2023,1,744,9/2/2023,9/14/2023,744,43
SO57508,2984,32826,2/6/2023,5,511,2/8/2023,2/20/2023,2555,100
SO57509,1411,25819,4/16/2023,1,427,4/18/2023,4/30/2023,427,89
SO57510,2511,19608,8/28/2023,3,699,8/30/2023,9/11/2023,2097,97
SO57511,3819,21433,6/25/2023,3,614,6/27/2023,7/9/2023,1842,75
SO57512,4837,21741,3/19/2023,4,446,3/21/2023,4/2/2023,1784,31
SO57513,3053,30973,11/6/2023,3,181,11/8/2023,11/20/2023,543,15
SO57514,2881,16147,10/19/2023,3,243,10/21/2023,11/2/2023,729,12
SO57515,4734,30265,12/7/2023,1,424,12/9/2023,12/21/2023,424,7
SO57516,2288,18362,4/14/2023,5,819,4/16/2023,4/28/2023,4095,57
SO57517,2078,34052,10/17/2023,5,529,10/19/2023,10/31/2023,2645,43
SO57518,3307,16945,3/3/2023,2,565,3/5/2023,3/17/2023,1130,23
SO57519,5161,25133,8/17/2023,2,124,8/19/2023,8/31/2023,248,35
SO57520,4284,22578,9/2/2023,3,213,9/4/2023,9/16/2023,639,57
SO57521,2746,15563,12/17/2023,2,430,12/19/2023,12/31/2023,860,16
SO57522,4390,10099,3/11/2023,1,117,3/13/2023,3/25/2023,117,62
SO57523,2515,26552,9/21/2023,3,945,9/23/2023,10/5/2023,2835,94
SO57524,3130,20696,4/16/2023,2,428,4/18/2023,4/30/2023,856,15
SO57525,4436,28661,5/31/2023,4,175,6/2/2023,6/14/2023,700,3
SO57526,1913,30669,8/17/2023,3,718,8/19/2023,8/31/2023,2154,58
SO57527,4533,21768,11/10/2023,1,751,11/12/2023,11/24/2023,751,38
SO57528,983,20803,3/6/2023,4,75,3/8/2023,3/20/2023,300,77
SO57529,5060,33451,9/22/2023,1,23,9/24/2023,10/6/2023,23,37
SO57530,4101,22368,11/15/2023,2,406,11/17/2023,11/29/2023,812,11
SO57531,1165,10024,12/2/2023,2,378,12/4/2023,12/16/2023,756,50
SO57532,2055,13069,9/22/2023,1,284,9/24/2023,10/6/2023,284,23
SO57533,4522,21647,7/14/2023,3,115,7/16/2023,7/28/2023,345,57
SO57534,1032,28955,9/19/2023,5,492,9/21/2023,10/3/2023,2460,73
SO57535,2025,16542,7/19/2023,1,722,7/21/2023,8/2/2023,722,9
SO57536,787,16444,3/1/2023,1,87,3/3/2023,3/15/2023,87,75
SO57537,5172,20970,7/19/2023,4,44,7/21/2023,8/2/2023,176,3
SO57538,5401,11830,12/3/2023,1,47,12/5/2023,12/17/2023,47,24
SO57539,5302,22149,2/17/2023,2,580,2/19/2023,3/3/2023,1160,53
SO57540,1919,29399,12/16/2023,1,127,12/18/2023,12/30/2023,127,1
SO57541,1331,31890,6/8/2023,2,73,6/10/2023,6/22/2023,146,98
SO57542,2044,33071,1/27/2023,4,905,1/29/2023,2/10/2023,3620,73
SO57543,5035,15067,12/12/2023,3,969,12/14/2023,12/26/2023,2907,96
SO57544,3269,23837,1/26/2023,5,324,1/28/2023,2/9/2023,1620,56
SO57545,2078,21758,7/19/2023,1,573,7/21/2023,8/2/2023,573,97
SO57546,3957,33727,6/10/2023,3,194,6/12/2023,6/24/2023,582,20
SO57547,4234,13074,11/22/2023,5,927,11/24/2023,12/6/2023,4635,24
SO57548,1504,14230,1/15/2023,5,331,1/17/2023,1/29/2023,1655,67
SO57549,3567,16297,1/27/2023,5,513,1/29/2023,2/10/2023,2565,15
SO57550,5216,34397,4/3/2023,3,782,4/5/2023,4/17/2023,2346,82
SO57551,2726,15759,10/26/2023,2,32,10/28/2023,11/9/2023,64,72
SO57552,2169,23470,7/5/2023,4,346,7/7/2023,7/19/2023,1384,41
SO57553,1876,13441,6/1/2023,5,923,6/3/2023,6/15/2023,4615,41
SO57554,3955,21195,5/23/2023,3,252,5/25/2023,6/6/2023,756,51
SO57555,3050,18264,8/27/2023,5,972,8/29/2023,9/10/2023,4860,77
SO57556,5198,30518,7/17/2023,3,710,7/19/2023,7/31/2023,2130,40
SO57557,942,22392,7/15/2023,3,991,7/17/2023,7/29/2023,2973,34
SO57558,4589,33704,7/10/2023,4,677,7/12/2023,7/24/2023,2708,31
SO57559,2963,25689,4/2/2023,2,31,4/4/2023,4/16/2023,62,59
SO57560,4794,32832,8/19/2023,4,300,8/21/2023,9/2/2023,1200,79
SO57561,1749,34081,6/15/2023,1,423,6/17/2023,6/29/2023,423,18
SO57562,2185,29524,1/1/2023,4,295,1/3/2023,1/15/2023,1180,25
SO57563,3495,33720,4/10/2023,2,638,4/12/2023,4/24/2023,1276,10
SO57564,4173,27517,1/25/2023,5,452,1/27/2023,2/8/2023,2260,11
SO57565,1360,28268,5/8/2023,3,886,5/10/2023,5/22/2023,2658,84
SO57566,2309,25384,3/2/2023,4,200,3/4/2023,3/16/2023,800,50
SO57567,3814,33356,12/25/2023,1,947,12/27/2023,1/8/2024,947,70
SO57568,2641,31799,4/18/2023,1,859,4/20/2023,5/2/2023,859,7
SO57569,4457,28439,4/25/2023,3,606,4/27/2023,5/9/2023,1818,2
SO57570,2460,17682,8/28/2023,5,114,8/30/2023,9/11/2023,570,97
SO57571,5348,32944,4/19/2023,4,322,4/21/2023,5/3/2023,1288,71
SO57572,4123,10949,2/3/2023,4,197,2/5/2023,2/17/2023,788,70
SO57573,3646,13577,7/5/2023,5,366,7/7/2023,7/19/2023,1830,63
SO57574,2334,28543,1/16/2023,3,268,1/18/2023,1/30/2023,804,100
SO57575,4752,10967,9/10/2023,5,888,9/12/2023,9/24/2023,4440,79
SO57576,3054,18299,4/19/2023,4,610,4/21/2023,5/3/2023,2440,93
SO57577,1976,13944,6/21/2023,2,265,6/23/2023,7/5/2023,530,78
SO57578,2193,34188,6/2/2023,2,820,6/4/2023,6/16/2023,1640,94
SO57579,3509,16927,3/28/2023,1,642,3/30/2023,4/11/2023,642,14
SO57580,5369,34061,5/26/2023,2,548,5/28/2023,6/9/2023,1096,98
SO57581,4665,14178,2/14/2023,2,339,2/16/2023,2/28/2023,678,76
SO57582,712,20427,9/25/2023,2,36,9/27/2023,10/9/2023,72,18
SO57583,4148,29407,3/15/2023,4,124,3/17/2023,3/29/2023,496,42
